Kurzname;Haltestelle;Linie;Gleis;Fahrtrichtung;Barrierefreiheit;Ebene;Ausstieg_aus_der_Bahn;Aufzug;Rolltreppe;Rampe;Aufzug_Fahrtrichtung_Hinweis
MIC;Michaelshoven;16;;;JA;;;;;;
MIC;Michaelshoven;17;;;JA;;;;;;
MLG;Weinsbergstraße/Gürtel;13;;;NEIN;Straße;Hohe Stufen, Bäume vor Tür;;;;
MOL;Moltkestraße;1;;;JA;Straße;;;;;
MOL;Moltkestraße;7;;;JA;Straße;;;;;
MOM;Mommsenstraße;9;;;JA;;;;;;
MOW;Mollwitzstraße;12;;;JA;Straße;;;;;
MOW;Mollwitzstraße;15;;;JA;Straße;;;;;
MRH;Merheim;1;;;JA;;;;;;
MSO;Koelnmesse;3;;;JA;Straße;;;;;
MSO;Koelnmesse;4;;;JA;Straße;;;;;
MWG;Mohnweg;1;;;JA;;;;;;
NBS;Nußbaumerstraße;13;;;NEIN;Straße;Hohe Stufen;;;;
NBS;Nußbaumerstraße;5;;;NEIN;Straße;Hohe Stufen;;;;
NEU;Neumarkt;1;3;Bensberg [Brück;JA;Straße;;JA;JA;;A1: Fahrtrichtung: Appellhofplatz | A2: Fahrtrichtung: Poststr. | A3: Hugo-Passage <> Neumarkt | A4: Hugo-Passage <> Zeppelinstr. - NeumarktGalerie
NEU;Neumarkt;1;5;Weiden West [Junkersdorf];JA;Straße;;JA;JA;;A1: Fahrtrichtung: Appellhofplatz | A2: Fahrtrichtung: Poststr. | A3: Hugo-Passage <> Neumarkt | A4: Hugo-Passage <> Zeppelinstr. - NeumarktGalerie
NEU;Neumarkt;16;1;Niehl Sebastianstr.;JA;Straße;;JA;JA;;A1: Fahrtrichtung: Appellhofplatz | A2: Fahrtrichtung: Poststr. | A3: Hugo-Passage <> Neumarkt | A4: Hugo-Passage <> Zeppelinstr. - NeumarktGalerie
NEU;Neumarkt;16;2;Bad Godesberg Stadthalle;JA;Straße;;JA;JA;;A1: Fahrtrichtung: Appellhofplatz | A2: Fahrtrichtung: Poststr. | A3: Hugo-Passage <> Neumarkt | A4: Hugo-Passage <> Zeppelinstr. - NeumarktGalerie
NEU;Neumarkt;18;1;Bonn Hbf [Klettenbergpark | Schwadorf];JA;Straße;;JA;JA;;A1: Fahrtrichtung: Appellhofplatz | A2: Fahrtrichtung: Poststr. | A3: Hugo-Passage <> Neumarkt | A4: Hugo-Passage <> Zeppelinstr. - NeumarktGalerie
NEU;Neumarkt;18;1;Buchheim Herler Str. [Reichenspergerplatz];JA;Straße;;JA;JA;;A1: Fahrtrichtung: Appellhofplatz | A2: Fahrtrichtung: Poststr. | A3: Hugo-Passage <> Neumarkt | A4: Hugo-Passage <> Zeppelinstr. - NeumarktGalerie
NEU;Neumarkt;3;2;Thielenbruch;JA;Straße;;JA;JA;;A1: Fahrtrichtung: Appellhofplatz | A2: Fahrtrichtung: Poststr. | A3: Hugo-Passage <> Neumarkt | A4: Hugo-Passage <> Zeppelinstr. - NeumarktGalerie
NEU;Neumarkt;3;2;Görlinger-Zentrum;JA;Straße;;JA;JA;;A1: Fahrtrichtung: Appellhofplatz | A2: Fahrtrichtung: Poststr. | A3: Hugo-Passage <> Neumarkt | A4: Hugo-Passage <> Zeppelinstr. - NeumarktGalerie
